index,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
34,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-4498111632426913857,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-1476283104318650828,-3203218385020632329
35,0,14102100,1005,0,1,3,18987,320,50,2158,3,291,100193,61,7103645968413015601,8629950133425947508,111604357524640377,-2414393451864678829,-7004666173270427393,-6327619399419000028,7897939898949762738,2673078788336365664,8164175476261918022,-1458582308343717728
36,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,7103645968413015601,5648329286983610456,7421455112930957893,885715277795203547,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-844856239406155347,5994903819945686342
37,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,100034,157,1238020262079713670,8629950133425947508,111604357524640377,-2414393451864678829,-9075055671551372192,-4525918953571814762,-4840563325561674567,-3518045965299665547,-1314385408522616703,-1019428751113754269
38,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,8093843712708960916,5648329286983610456,7421455112930957893,885715277795203547,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1090612812828459971,3098292913819606486
39,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,8093843712708960916,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,4384803572342369406,-4118515310004069049
40,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,8093843712708960916,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-2444785682968563679,-6178101760675651881
41,0,14102100,1005,0,1,0,19870,320,50,2271,0,687,100075,48,5604218976818736450,-4369898478251877562,-5374425214460013001,6950720313526839352,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7160809663239869126,-1024204235235786244
42,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-2292717866691960850,8629950133425947508,111604357524640377,-2414393451864678829,-429701112824202427,-6327619399419000028,7897939898949762738,2987066389510458136,198718810045546956,1976546491231690435
43,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-2292717866691960850,8629950133425947508,111604357524640377,-2414393451864678829,7744744357360030387,8511753678100510838,4844916605846005300,5980172289007939589,-3574161231754965467,-7583020033688650551
44,1,14102100,1002,0,0,0,21661,320,50,2446,3,171,100228,156,-2292717866691960850,478928268242111831,111604357524640377,-2414393451864678829,-3459646385640828756,8511753678100510838,-3690605714457023166,-8510614909068957810,111552577308961698,-6105785906840430799
45,0,14102100,1005,1,1,0,16208,320,50,1800,3,167,100075,23,5758487399619567431,6464426721934916222,-1597212311899245301,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4910463623221230555,7119642937421895456
46,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,5758487399619567431,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7791386733467758689,2965369251169064031
47,0,14102100,1005,1,1,0,17037,320,50,1934,2,39,-1,16,2746999540544780245,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1220640660378107733,3086260236226053741
48,0,14102100,1005,1,1,0,16920,320,50,1899,0,431,-1,117,-4655348392385986450,2580369917981604860,2139018637717015961,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4220144438963824562,-5937768837085531231
49,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,1068868396704897450,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8840325769964630957,7501646206462426354
50,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,-3541506983653315709,5554896412617590029,6877266830419251596,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8791013091380924959,3123145737817625675
51,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,5731213187014935316,8629950133425947508,111604357524640377,-2414393451864678829,7165690864732521741,-6327619399419000028,4844916605846005300,-3518045965299665547,8492739174621220410,-4784008145476454377
52,1,14102100,1005,0,1,2,18993,320,50,2161,0,35,100131,157,-1923637982447719763,8629950133425947508,111604357524640377,-2414393451864678829,614185190082061066,-6327619399419000028,6080375722752004429,-3518045965299665547,-3309517812942714697,-5447042282599780154
53,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-4589853773660983677,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8446316834118498892,7568039529498303106
54,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-4589853773660983677,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6240853128760816490,1976546491231690435
55,0,14102100,1005,1,1,0,16615,320,50,1863,3,39,100188,23,-4589853773660983677,2580369917981604860,2139018637717015961,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7596511005664723164,9197397757978036876
56,0,14102100,1005,1,1,0,20634,320,50,2374,3,39,-1,23,-4349388121296440975,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5351219880249064335,-2616125342966074046
57,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-2172957053621979898,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1988778046365722497,1976546491231690435
58,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,948637241865808165,8629950133425947508,111604357524640377,-2414393451864678829,-247353148104605489,-6327619399419000028,-4840563325561674567,-3518045965299665547,-521923794810336282,5878430276307083028
59,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,2495598351573181183,5648329286983610456,7421455112930957893,885715277795203547,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8593722406564310390,7935125490635472320
60,1,14102100,1005,0,1,0,20596,320,50,2161,0,35,100034,157,3692668652711322033,8629950133425947508,111604357524640377,-2414393451864678829,-9075055671551372192,-4525918953571814762,-4840563325561674567,-3518045965299665547,-4613844872645404299,4038932970710995216
61,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-4701937936717794824,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7791386733467758689,-3203218385020632329
62,0,14102100,1005,0,1,0,17212,320,50,1887,3,39,100202,23,3452203000346779331,5603178155900385728,1864581853189975715,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2753844270875872393,4487507558357039653
63,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,2772122783506024296,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6525011065173443103,7119642937421895456
64,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-8706034549164676331,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,4896539320051007702,7501646206462426354
65,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,-2767712341371425358,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2350309085550666413,7749433329550794484
66,0,14102100,1005,1,1,0,17747,320,50,1974,2,39,100021,33,-8057177215783914745,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7089346313177948451,5229768156974795727
67,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,2338361591614108590,8629950133425947508,111604357524640377,-2414393451864678829,-2483803314176205006,-500279518171581154,4844916605846005300,-3518045965299665547,1916953203174823617,-6046843993302256576
68,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,2338361591614108590,-3504188239717844085,231096366534879872,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8830684092170956659,3553263535699696302
69,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,2338361591614108590,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-3800821696919181600,-4017719625710052202
70,0,14102100,1005,1,1,0,17914,320,50,2043,2,39,-1,32,238552331567428732,8889373800084740533,551410323232150061,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7625287490537400857,-2662986938824388571
71,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,4555872186811068482,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-1476283104318650828,-3203218385020632329
72,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,4555872186811068482,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6925717505522615652,-3203218385020632329
