,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
10,0,14102100,1005,1,1,0,17747,320,50,1974,2,39,100019,33,816218046364796741,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-2040758955435448663,-762454342246994788
11,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,3506467573764114630,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6816500862458319746,3553263535699696302
12,0,14102100,1005,0,1,2,20596,320,50,2161,0,35,100148,157,1068584453346462775,9032686967820806461,-3101187702585206976,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,4464173494316122992,-6231722056536079404
13,0,14102100,1005,0,1,0,19771,320,50,2227,0,687,100077,48,6101709170201392487,-8391469780661372980,-6321313078051792942,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,3326651876707870531,-1491363277533095999
14,0,14102100,1005,0,1,0,20984,320,50,2371,0,551,-1,46,933146144725700342,8629950133425947508,111604357524640377,-2414393451864678829,-2828222101294193735,-904227634758625487,4844916605846005300,-3518045965299665547,-4994233562979289782,7306932399002132778
15,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,-2959505946617838179,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6154905135569697777,-6351624509581666973
16,0,14102100,1005,0,1,0,17914,320,50,2043,2,39,-1,32,6029786339393463345,519199084994882384,-8245037260675985886,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6563165208993346952,-616526398944830769
17,0,14102100,1005,0,1,2,15708,320,50,1722,0,35,100084,79,4168780003964229264,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1213461821481427661,-5447042282599780154
18,0,14102100,1005,1,1,0,6558,320,50,571,2,39,-1,32,2489236080253204078,7153451114903387139,-8200604644668854278,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,3557851466470596715,-1979458889321720770
19,0,14102100,1005,0,1,0,21234,320,50,2434,3,163,100088,61,-8968203044192797850,8629950133425947508,111604357524640377,-2414393451864678829,4646776109510135833,-904227634758625487,7598674530867915909,-3518045965299665547,-8127550203991058044,497634321377340873
20,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,1507737351998326175,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,5752269458073863809,-3750468643369283868
21,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-1802313045777208257,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6304658622343820622,-7308059280339891578
22,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,1585206663709841234,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-1770040272576373990,8684700912657445875
23,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,161587690859580917,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,4721651739156786296,-7543481408653704015
24,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,100083,79,-3850325091333554441,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8133901295910383077,1077005538450510539
25,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,6992090602232087714,8629950133425947508,111604357524640377,-2414393451864678829,6391360779523085295,8511753678100510838,4844916605846005300,5640190080072426206,-1549557467152047374,-7968542276066455180
26,0,14102100,1005,1,1,0,20984,320,50,2371,0,551,100217,46,8672839829676544192,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4068095319821764674,-1563562757512813399
27,1,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,-490860956194021896,8629950133425947508,111604357524640377,-2414393451864678829,-3881741946088249013,-6327619399419000028,4844916605846005300,1031008704209522188,2825202695626623827,4438842938378911109
28,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,-7080610550561620298,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1234600770594516096,-3203218385020632329
29,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,324500409075878348,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8736744961555924465,-4017719625710052202
30,0,14102100,1005,0,1,3,15708,320,50,1722,0,35,-1,79,7040622717307012777,8629950133425947508,111604357524640377,-2414393451864678829,2212348886469687078,-6327619399419000028,7897939898949762738,-9171049559940906753,7968940154746892743,3619324331441861614
31,0,14102100,1005,0,1,0,16838,320,50,1882,3,35,-1,13,-2689782422733965887,8311007498543238230,-4872730788939984517,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5411486487771215721,5229768156974795727
32,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100083,79,-304190895469656567,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6990512166640756207,3208554168692524275
33,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,8764592363540317679,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7990211808534828441,-3203218385020632329
34,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-7811454275346892367,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-1476283104318650828,-3203218385020632329
35,0,14102100,1005,0,1,3,18987,320,50,2158,3,291,100193,61,-1051986821292976796,8629950133425947508,111604357524640377,-2414393451864678829,-7004666173270427393,-6327619399419000028,7897939898949762738,2673078788336365664,8164175476261918022,-1458582308343717728
36,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,-6913259334220781309,5648329286983610456,7421455112930957893,885715277795203547,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-844856239406155347,5994903819945686342
37,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,100034,157,-2493062220211245627,8629950133425947508,111604357524640377,-2414393451864678829,-9075055671551372192,-4525918953571814762,-4840563325561674567,-3518045965299665547,-1314385408522616703,-1019428751113754269
38,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-7949111640638631298,5648329286983610456,7421455112930957893,885715277795203547,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1090612812828459971,3098292913819606486
39,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-4725835109719651066,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,4384803572342369406,-4118515310004069049
40,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,5375917504771678307,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-2444785682968563679,-6178101760675651881
41,0,14102100,1005,0,1,0,19870,320,50,2271,0,687,100075,48,-5539391549516341750,-4369898478251877562,-5374425214460013001,6950720313526839352,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7160809663239869126,-1024204235235786244
42,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-8939172513605947049,8629950133425947508,111604357524640377,-2414393451864678829,-429701112824202427,-6327619399419000028,7897939898949762738,2987066389510458136,198718810045546956,1976546491231690435
43,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-4684989482120412320,8629950133425947508,111604357524640377,-2414393451864678829,7744744357360030387,8511753678100510838,4844916605846005300,5980172289007939589,-3574161231754965467,-7583020033688650551
44,1,14102100,1002,0,0,0,21661,320,50,2446,3,171,100228,156,-1781235593469325778,478928268242111831,111604357524640377,-2414393451864678829,-3459646385640828756,8511753678100510838,-3690605714457023166,-8510614909068957810,111552577308961698,-6105785906840430799
45,0,14102100,1005,1,1,0,16208,320,50,1800,3,167,100075,23,-1094550050001090568,6464426721934916222,-1597212311899245301,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4910463623221230555,7119642937421895456
46,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,6901354061214372034,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7791386733467758689,2965369251169064031
47,0,14102100,1005,1,1,0,17037,320,50,1934,2,39,-1,16,8566093125899272255,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1220640660378107733,3086260236226053741
48,0,14102100,1005,1,1,0,16920,320,50,1899,0,431,-1,117,8834849637962329930,2580369917981604860,2139018637717015961,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4220144438963824562,-5937768837085531231
49,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,8205267374774742492,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8840325769964630957,7501646206462426354
50,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,-6032337903916629698,5554896412617590029,6877266830419251596,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8791013091380924959,3123145737817625675
51,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,12946821578390833,8629950133425947508,111604357524640377,-2414393451864678829,7165690864732521741,-6327619399419000028,4844916605846005300,-3518045965299665547,8492739174621220410,-4784008145476454377
52,1,14102100,1005,0,1,2,18993,320,50,2161,0,35,100131,157,1967442092194401083,8629950133425947508,111604357524640377,-2414393451864678829,614185190082061066,-6327619399419000028,6080375722752004429,-3518045965299665547,-3309517812942714697,-5447042282599780154
53,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-3616624949876746109,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8446316834118498892,7568039529498303106
54,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-1498175292986579147,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6240853128760816490,1976546491231690435
55,0,14102100,1005,1,1,0,16615,320,50,1863,3,39,100188,23,4594482038097399824,2580369917981604860,2139018637717015961,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7596511005664723164,9197397757978036876
56,0,14102100,1005,1,1,0,20634,320,50,2374,3,39,-1,23,3591714344635358740,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5351219880249064335,-2616125342966074046
57,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,129044020349359114,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1988778046365722497,1976546491231690435
58,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-6762719269301673017,8629950133425947508,111604357524640377,-2414393451864678829,-247353148104605489,-6327619399419000028,-4840563325561674567,-3518045965299665547,-521923794810336282,5878430276307083028
59,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,5477124121069789827,5648329286983610456,7421455112930957893,885715277795203547,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8593722406564310390,7935125490635472320
60,1,14102100,1005,0,1,0,20596,320,50,2161,0,35,100034,157,4540871001564766783,8629950133425947508,111604357524640377,-2414393451864678829,-9075055671551372192,-4525918953571814762,-4840563325561674567,-3518045965299665547,-4613844872645404299,4038932970710995216
61,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-4103377260129592948,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7791386733467758689,-3203218385020632329
62,0,14102100,1005,0,1,0,17212,320,50,1887,3,39,100202,23,-2073269082995576738,5603178155900385728,1864581853189975715,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2753844270875872393,4487507558357039653
63,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,5224108061956817576,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6525011065173443103,7119642937421895456
64,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,56084567872179573,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,4896539320051007702,7501646206462426354
65,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,6227789666277327718,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2350309085550666413,7749433329550794484
66,0,14102100,1005,1,1,0,17747,320,50,1974,2,39,100021,33,-8507315658588631820,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7089346313177948451,5229768156974795727
67,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,-3357845886626879657,8629950133425947508,111604357524640377,-2414393451864678829,-2483803314176205006,-500279518171581154,4844916605846005300,-3518045965299665547,1916953203174823617,-6046843993302256576
68,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-2915045742667706230,-3504188239717844085,231096366534879872,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8830684092170956659,3553263535699696302
69,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,-4252607843063118000,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-3800821696919181600,-4017719625710052202
70,0,14102100,1005,1,1,0,17914,320,50,2043,2,39,-1,32,567660105669872161,8889373800084740533,551410323232150061,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7625287490537400857,-2662986938824388571
71,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,-8060414240813356244,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-1476283104318650828,-3203218385020632329
72,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,5333616976695299714,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6925717505522615652,-3203218385020632329
73,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,8085960515825399060,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8121820599264081025,3553263535699696302
74,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,8626795010680404598,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7455079099516464994,-5027562934616237773
75,0,14102100,1005,0,1,0,17654,300,250,1994,2,39,-1,33,-133573272669560667,-6006500867716285822,-4788160483375411076,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5957943007108525706,8561404885491249438
76,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,7282650430755967030,-5497353021611352486,8799189790566434536,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6488971463019976533,8892387140091486491
77,1,14102100,1005,1,1,0,20362,320,50,2333,0,39,-1,157,937425998204577034,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8362875818828280679,-3045051587222025656
78,0,14102100,1005,0,1,2,18993,320,50,2161,0,35,-1,157,1273531488714101591,8629950133425947508,111604357524640377,-2414393451864678829,-3653868853766934444,-6327619399419000028,7598674530867915909,554533687916143486,5040754595719812012,5420860932195345387
79,0,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,-7882225608897509645,8629950133425947508,111604357524640377,-2414393451864678829,7250440917338814884,3043032295284308391,4844916605846005300,-3518045965299665547,7876045048862185530,-1708302089215088193
80,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,100083,79,-7950336355332658040,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-3028326418366183835,7568039529498303106
81,0,14102100,1002,0,0,0,21691,320,50,2495,2,167,-1,23,-7361763492323273061,8629950133425947508,111604357524640377,-2414393451864678829,6432338210915949979,8511753678100510838,-3690605714457023166,7278453685546533488,-7757351157218657426,3875623668539383755
82,0,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,5716061269608364649,8629950133425947508,111604357524640377,-2414393451864678829,7250440917338814884,3043032295284308391,4844916605846005300,-3518045965299665547,-6154560542683712636,7119642937421895456
83,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,100083,79,5841375648422444153,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-629033629571500342,-4017719625710052202
84,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,7146181727396335930,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1769957017206393232,8597697701124467158
85,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100083,79,-8765968546409291282,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-3162864498600858287,-521321405459576067
86,1,14102100,1005,0,1,0,20633,320,50,2374,3,39,-1,23,-301354338620804987,8629950133425947508,111604357524640377,-2414393451864678829,-5283606391359907380,-6327619399419000028,-4840563325561674567,-3518045965299665547,8700375678448499540,3553263535699696302
87,1,14102100,1002,0,0,0,21682,320,50,2496,3,167,100191,23,-7022985752254382816,478928268242111831,111604357524640377,-2414393451864678829,-3459646385640828756,8511753678100510838,-3690605714457023166,-7765729365089349732,-7900077941332718615,47424301701698708
88,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-6327364584294675512,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5757383128815355544,2694549753756259539
89,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,100083,79,-5154628973796365875,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-293431294568992734,-2816508552598089815
90,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,-1,79,5694822871367906167,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-655691966100811117,-1489036081903642125
91,0,14102100,1005,0,1,0,15705,320,50,1722,0,35,100083,79,-4506038075396678993,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8493836526727351071,1077005538450510539
92,1,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,9009919778898667093,8629950133425947508,111604357524640377,-2414393451864678829,7250440917338814884,3043032295284308391,4844916605846005300,-3518045965299665547,-7372687764754237845,7510558708812410848
93,0,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,7345428258243269113,8629950133425947508,111604357524640377,-2414393451864678829,2912520596928928242,-904227634758625487,4844916605846005300,-3518045965299665547,8275799484351318179,2253605036659876326
94,0,14102100,1005,1,1,0,17037,320,50,1934,2,39,-1,16,2882047400035911335,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2792231743861221961,-7332328034800742845
95,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-1758059943739913693,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,73475706754722987,7568039529498303106
96,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-1784767774453439503,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2656353295855775564,3553263535699696302
97,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-8007275443687234685,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5556635202808406832,-9068659649458215538
98,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-7663152529585689292,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1685027192977898738,-7308059280339891578
99,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-1740421459755272113,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5109500884632220021,7995828501839387849
100,0,14102100,1005,1,1,0,19772,320,50,2227,0,687,100075,48,5061179948142955804,8438930769936714607,-8459012733113045359,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6965467716323285362,-2756651615968554049
101,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,7984250354480150902,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4090194890966396257,-6186651365347579359
102,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,3628464533485117682,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5690531118479664473,9197397757978036876
103,1,14102100,1005,1,1,0,17212,320,50,1887,3,39,100200,23,2441743855115462666,519199084994882384,-8245037260675985886,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,3213837113766956903,1949431369555148760
104,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-3284436274093602375,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7497374623202007116,-7567863370427704837
105,0,14102100,1005,0,1,3,20596,320,50,2161,0,35,-1,157,-9173957615340808939,8629950133425947508,111604357524640377,-2414393451864678829,-3653868853766934444,-6327619399419000028,7598674530867915909,-8242298479187662493,-7925460669751082794,-6152820222596947464
106,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,6176793830184732746,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8729381796852593483,282281965402865420
107,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,100050,117,-903708425400098105,8629950133425947508,111604357524640377,-2414393451864678829,6391360779523085295,8511753678100510838,4844916605846005300,-4460144770735330554,7085943413814020722,-1979458889321720770
108,0,14102100,1005,0,1,0,18945,320,50,2153,3,427,100063,61,1720339519643418392,4811967483667401637,-6465829603989581284,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-3869802773349865893,7749433329550794484
109,0,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,-2095194059567142210,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4668072774796993271,8597697701124467158
110,0,14102100,1005,0,1,2,20596,320,50,2161,0,35,100034,157,8783784958583776424,8629950133425947508,111604357524640377,-2414393451864678829,-9075055671551372192,-4525918953571814762,-4840563325561674567,-3518045965299665547,-6986193887654339804,4314273008597773697
111,1,14102100,1005,0,1,0,19665,320,50,2253,2,303,-1,52,4590551521327867207,-7889472591249861757,-4693539028308983508,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4684345774839420678,5644611018295529661
112,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,768955617617270726,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,3442691819191949436,8438328661751240104
